Wall time,Step,Value
1733755297.6655092,2400,47.76890182495117
1733755299.293909,4200,20.83869171142578
1733755301.3369339,6600,14.631179809570312
1733755303.0879161,8400,10.110418319702148
1733755305.138599,10800,10.830952644348145
1733755306.935719,12600,7.355922698974609
1733755308.565969,14400,6.291998863220215
1733755310.7103841,16800,6.792639255523682
1733755312.441992,18600,2.649569272994995
1733755314.481411,21000,2.5133283138275146
1733755316.130121,22800,4.6883463859558105
1733755317.807286,24600,6.0855631828308105
1733755319.876,27000,1.8523006439208984
1733755321.527471,28800,1.7517473697662354
1733755323.5602849,31200,1.5003950595855713
1733755325.190596,33000,2.3963117599487305
1733755327.2329202,35400,1.9214216470718384
1733755329.012449,37200,0.8718038201332092
1733755330.648364,39000,5.39350700378418
1733755332.70144,41400,3.2804830074310303
