Wall time,Step,Value
1733755297.6654458,2400,5.441590309143066
1733755299.2938392,4200,3.665668249130249
1733755301.336865,6600,3.8631415367126465
1733755303.087851,8400,2.099593162536621
1733755305.138539,10800,2.1140148639678955
1733755306.93565,12600,1.1633931398391724
1733755308.565901,14400,1.999184250831604
1733755310.710311,16800,3.2759647369384766
1733755312.441914,18600,0.8457888960838318
1733755314.4813492,21000,1.3276795148849487
1733755316.13005,22800,2.487433433532715
1733755317.8072221,24600,3.1572163105010986
1733755319.8759391,27000,0.4449176490306854
1733755321.527414,28800,1.0879501104354858
1733755323.560226,31200,1.1432076692581177
1733755325.1905432,33000,1.6459664106369019
1733755327.232861,35400,0.8629711270332336
1733755329.01238,37200,1.0610543489456177
1733755330.6483068,39000,2.28068470954895
1733755332.7013838,41400,1.090528130531311
