Wall time,Step,Value
1733753995.0789602,2400,145.48439025878906
1733753996.400223,4200,43.48467254638672
1733753998.1142778,6600,49.053646087646484
1733753999.461519,8400,33.039485931396484
1733754001.170942,10800,30.03086280822754
1733754002.545929,12600,17.803983688354492
1733754003.895725,14400,21.275373458862305
1733754005.608137,16800,13.150633811950684
1733754006.975101,18600,10.739021301269531
1733754008.6842282,21000,8.668289184570312
1733754010.041557,22800,7.0328898429870605
1733754011.411236,24600,3.655982732772827
1733754013.150765,27000,3.090517282485962
