Wall time,Step,Value
1733753995.0788841,2400,12.508562088012695
1733753996.4001532,4200,2.5586235523223877
1733753998.1142132,6600,7.443026542663574
1733753999.461453,8400,4.897257328033447
1733754001.1708841,10800,6.333505153656006
1733754002.54587,12600,3.037954568862915
1733754003.895659,14400,3.659379720687866
1733754005.608075,16800,4.631951332092285
1733754006.975039,18600,2.8652544021606445
1733754008.684161,21000,2.4019389152526855
1733754010.041496,22800,2.023240804672241
1733754011.411167,24600,0.42799127101898193
1733754013.150697,27000,1.7422717809677124
