Wall time,Step,Value
1733754979.357276,2400,109.81536865234375
1733754980.726586,4200,69.20458221435547
1733754982.504289,6600,42.252445220947266
1733754983.8663821,8400,27.848451614379883
1733754985.643439,10800,33.83208465576172
1733754987.015429,12600,16.641765594482422
1733754988.394065,14400,18.84058952331543
1733754990.2241669,16800,13.324488639831543
1733754991.733912,18600,7.659829616546631
1733754993.5020459,21000,7.249204635620117
1733754994.862283,22800,6.683565139770508
1733754996.223157,24600,4.909061908721924
1733754998.136673,27000,2.521069288253784
1733754999.603093,28800,2.4882218837738037
1733755001.373586,31200,3.0342063903808594
1733755002.747354,33000,2.2844927310943604
1733755004.540562,35400,2.2074997425079346
1733755005.9066062,37200,1.9675012826919556
1733755007.2703612,39000,1.4670108556747437
