Wall time,Step,Value
1733754383.184457,2400,57.542724609375
1733754384.417152,4200,18.01687240600586
1733754386.011491,6600,19.376672744750977
1733754387.248514,8400,15.365324974060059
1733754388.8466828,10800,20.4014949798584
1733754390.0776498,12600,23.332290649414062
1733754391.312017,14400,19.224756240844727
1733754392.9326038,16800,13.999639511108398
1733754394.1606898,18600,12.501565933227539
1733754395.780222,21000,10.870917320251465
1733754397.036246,22800,10.460665702819824
1733754398.24912,24600,7.65442419052124
1733754399.8758788,27000,7.287670612335205
1733754401.11472,28800,4.355658054351807
1733754402.705638,31200,7.090634822845459
1733754403.9905002,33000,3.2840726375579834
1733754405.610451,35400,4.17519998550415
1733754406.830325,37200,1.9885190725326538
1733754408.059944,39000,1.6990967988967896
1733754409.670471,41400,0.8191919326782227
1733754410.918176,43200,0.7489262819290161
1733754412.523802,45600,3.9392027854919434
1733754413.781934,47400,0.2339501678943634
1733754415.0184472,49200,1.3611817359924316
1733754416.64028,51600,0.14247073233127594
1733754417.899501,53400,0.11490875482559204
1733754419.530845,55800,2.723419189453125
