Wall time,Step,Value
1733754383.184524,2400,146.03045654296875
1733754384.417221,4200,102.30985260009766
1733754386.0115561,6600,92.79900360107422
1733754387.248585,8400,66.18661499023438
1733754388.8467462,10800,69.95387268066406
1733754390.0777102,12600,73.09017944335938
1733754391.312086,14400,59.56289291381836
1733754392.9326699,16800,46.84872055053711
1733754394.1607559,18600,42.91302490234375
1733754395.780288,21000,31.677127838134766
1733754397.036321,22800,35.76955795288086
1733754398.249179,24600,27.657085418701172
1733754399.875942,27000,20.342309951782227
1733754401.11479,28800,15.477991104125977
1733754402.705694,31200,18.487112045288086
1733754403.990558,33000,13.722366333007812
1733754405.610513,35400,12.316583633422852
1733754406.830384,37200,7.103304862976074
1733754408.06,39000,6.658938407897949
1733754409.670528,41400,7.084939956665039
1733754410.918238,43200,5.173008441925049
1733754412.52386,45600,7.956998348236084
1733754413.781995,47400,3.17702579498291
1733754415.018507,49200,5.661697864532471
1733754416.640337,51600,2.090404510498047
1733754417.899555,53400,1.0625123977661133
1733754419.5309079,55800,4.073964595794678
