Wall time,Step,Value
1733755120.416113,2400,172.75692749023438
1733755121.713075,4200,131.19578552246094
1733755123.443342,6600,82.39430236816406
1733755124.762791,8400,61.55238723754883
1733755126.5055308,10800,59.03340148925781
1733755127.8334029,12600,53.490997314453125
1733755129.2800488,14400,58.37830352783203
1733755131.022131,16800,37.94318771362305
1733755132.337322,18600,34.806419372558594
1733755134.190502,21000,37.07798767089844
1733755135.496246,22800,34.789634704589844
1733755136.824636,24600,26.501291275024414
1733755138.646601,27000,19.77688980102539
1733755139.974287,28800,14.039395332336426
1733755141.80515,31200,12.475086212158203
1733755143.130684,33000,12.743000984191895
1733755144.979264,35400,10.4917573928833
1733755146.32532,37200,7.450869560241699
1733755147.663679,39000,5.658712863922119
1733755149.5672672,41400,5.952703952789307
1733755150.885791,43200,4.118913650512695
1733755152.757012,45600,4.716156959533691
1733755154.09184,47400,4.824282169342041
1733755155.440691,49200,1.504329800605774
1733755157.1955369,51600,2.5153446197509766
