Wall time,Step,Value
1733755553.321899,2400,63.903011322021484
1733755554.7062452,4200,2.8853719234466553
1733755556.504236,6600,3.6459906101226807
1733755557.903525,8400,2.119168996810913
1733755559.8750699,10800,3.6275830268859863
1733755561.25715,12600,4.545806884765625
1733755562.784058,14400,2.7773923873901367
1733755564.5842738,16800,2.497774600982666
1733755566.115875,18600,4.568894863128662
1733755567.952448,21000,3.746380567550659
1733755569.388761,22800,2.4289028644561768
1733755570.872746,24600,2.74318528175354
1733755572.8295019,27000,4.877220153808594
1733755574.415589,28800,1.4477161169052124
1733755576.266232,31200,1.3061397075653076
1733755577.724407,33000,1.087075114250183
1733755579.5615811,35400,3.705887794494629
1733755581.1095512,37200,1.044371247291565
1733755582.5737731,39000,0.23487412929534912
1733755584.4262028,41400,1.0771231651306152
