Wall time,Step,Value
1733755400.895703,2400,71.29027557373047
1733755402.3685892,4200,27.481843948364258
1733755404.324039,6600,21.761751174926758
1733755405.863627,8400,19.265893936157227
1733755407.75006,10800,13.860140800476074
1733755409.2136629,12600,10.133008003234863
1733755410.679064,14400,7.882710933685303
1733755412.564616,16800,7.586284160614014
1733755414.152214,18600,5.477358818054199
1733755416.154001,21000,8.200387001037598
1733755417.634866,22800,4.4666337966918945
1733755419.1166358,24600,8.838129997253418
1733755421.1140292,27000,3.8708908557891846
1733755422.605021,28800,4.8648457527160645
1733755424.5211892,31200,1.4036829471588135
1733755426.021185,33000,3.0478410720825195
1733755427.922542,35400,1.545764446258545
1733755429.403889,37200,0.8807150721549988
1733755430.895616,39000,2.7993013858795166
1733755432.825412,41400,1.8748899698257446
1733755434.336707,43200,3.182814359664917
1733755436.390872,45600,1.3699678182601929
1733755437.88582,47400,1.3783628940582275
1733755439.482284,49200,1.6716805696487427
1733755441.389469,51600,1.6946043968200684
