Wall time,Step,Value
1733755400.895628,2400,5.991637706756592
1733755402.368525,4200,4.766897201538086
1733755404.3239639,6600,3.931652307510376
1733755405.863557,8400,3.0013999938964844
1733755407.7499971,10800,2.8753888607025146
1733755409.213599,12600,2.752521514892578
1733755410.678998,14400,2.3414864540100098
1733755412.564209,16800,3.0226244926452637
1733755414.152142,18600,2.3127732276916504
1733755416.1539378,21000,2.507009983062744
1733755417.634807,22800,1.5633666515350342
1733755419.116572,24600,4.384291172027588
1733755421.113961,27000,1.1278550624847412
1733755422.6049469,28800,1.927616000175476
1733755424.521125,31200,0.38933345675468445
1733755426.021116,33000,1.1286011934280396
1733755427.922487,35400,0.6327935457229614
1733755429.4038222,37200,0.20875589549541473
1733755430.8955488,39000,1.3949134349822998
1733755432.825345,41400,0.7958254218101501
1733755434.336618,43200,1.1559420824050903
1733755436.39079,45600,0.38058894872665405
1733755437.885756,47400,0.772916853427887
1733755439.4822268,49200,0.5089344382286072
1733755441.38941,51600,0.8766841292381287
